name,date,country_id:id,vocative
Jaroslava,2015-04-26,base.sk,Jaroslavo
Jela,2015-04-19,base.sk,Jelo
Jerguš,2015-08-03,base.sk,Jerguši
Jolana,2015-09-15,base.sk,Jolano
Jozef,2015-03-19,base.sk,Jozefe
Jozefína,2015-08-06,base.sk,Jozefíno
Judita,2015-12-19,base.sk,Judito
Juraj,2015-04-24,base.sk,Juraji
Justína,2015-04-14,base.sk,Justíno
Ján,2015-06-24,base.sk,Jáne
Júlia,2015-05-22,base.sk,Júlio
Július,2015-04-11,base.sk,Júlie
Kamil,2015-07-14,base.sk,Kamile
Kamila,2015-07-18,base.sk,Kamilo
Karol,2015-11-04,base.sk,Karole
Karolína,2015-06-03,base.sk,Karolíno
Katarína,2015-11-25,base.sk,Kataríno
Kazimír,2015-03-04,base.sk,Kazimíre
Klaudia,2015-11-17,base.sk,Klaudio
Klement,2015-11-23,base.sk,Klemente
Klára,2015-10-29,base.sk,Kláro
